"word","Orthography","bucket_q","uni_prob","bi_prob_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"ɲ1 u1 l u","ñulu","uni1-bi1",-19.56777563,-28.17926104,6,"ɲ1_u1_l_u.mp3","Task",1
"ɲ1 o1 u i","ñohui","uni1-bi1",-18.4689513,-28.72015672,6,"ɲ1_o1_u_i.mp3","Task",1
"ɲ1 o1 ɲ i","ñoñi","uni1-bi1",-21.24952941,-28.43497778,6,"ɲ1_o1_ɲ_i.mp3","Task",1
"ɲ u t͡ʃ1 e1","ñuché","uni1-bi1",-21.32398199,-24.52553376,6,"ɲ_u_t͡ʃ1_e1.mp3","Task",1
"t͡ʃ1 u1 ɲ o","chuño","uni1-bi2",-20.76887633,-17.11780979,6,"t͡ʃ1_u1_ɲ_o.mp3","Task",1
"t͡ʃ a ɲ1 e1","chañé","uni1-bi2",-19.39525224,-17.08508239,6,"t͡ʃ_a_ɲ1_e1.mp3","Task",1
"f1 e1 t͡ʃ i","fechi","uni1-bi2",-18.75571223,-18.71204454,6,"f1_e1_t͡ʃ_i.mp3","Task",1
"x u ɲ1 o1","juñó","uni1-bi2",-20.65327247,-16.94028301,6,"x_u_ɲ1_o1.mp3","Task",1
"t͡ʃ1 u1 ɲ a","chuña","uni1-bi2",-20.57520288,-16.77541155,6,"t͡ʃ1_u1_ɲ_a.mp3","Task",1
"p u f1 o1","pufó","uni1-bi3",-17.90234497,-15.10082542,6,"p_u_f1_o1.mp3","Task",1
"r u ɲ1 o1","ruñó","uni1-bi3",-20.0705391,-16.08997308,6,"r_u_ɲ1_o1.mp3","Task",1
"g u m1 o1","gumó","uni1-bi3",-17.82720786,-14.78384083,6,"g_u_m1_o1.mp3","Task",1
"t͡ʃ1 i1 x o","chijo","uni1-bi3",-17.84080243,-15.65158247,6,"t͡ʃ1_i1_x_o.mp3","Task",1
"b1 u1 t͡ʃ a","bucha","uni1-bi4",-17.90172446,-12.91468944,6,"b1_u1_t͡ʃ_a.mp3","Task",1
"r1 a1 ɲ a","raña","uni1-bi4",-18.39459531,-13.13736596,6,"r1_a1_ɲ_a.mp3","Task",1
"g1 a1 ɲ a","gaña","uni1-bi4",-17.72410428,-12.85190637,6,"g1_a1_ɲ_a.mp3","Task",1
